optimizer,seed,wall_clock_s,ppl
adamw,42,10.46,148.7067
adamw,42,54.44,112.6560
adamw,42,89.97,82.5069
adamw,42,122.75,54.6896
adamw,42,158.02,37.4680
adamw,42,204.49,28.5375
adamw,42,270.09,23.6325
adamw,42,313.75,20.6589
adamw,42,356.76,18.7545
adamw,42,393.05,17.6057
adamw,42,425.96,16.7743
adamw,42,459.45,16.2468
adamw,42,494.39,15.8245
adamw,42,528.86,15.4520
adamw,42,562.39,15.1534
adamw,42,595.78,14.9748
adamw,42,629.46,14.8452
adamw,42,696.35,14.7617
adamw,42,756.48,14.6753
adamw,42,807.40,14.5976
scao,42,15.41,143.2106
scao,42,57.34,107.6535
scao,42,94.00,74.9478
scao,42,129.53,47.6023
scao,42,169.21,29.5803
scao,42,210.33,23.9872
scao,42,253.99,20.8791
scao,42,292.17,19.0447
scao,42,328.28,17.8679
scao,42,364.54,17.2453
scao,42,399.03,16.7748
scao,42,435.80,16.4090
scao,42,477.16,16.1414
scao,42,514.62,15.9038
scao,42,552.10,15.6299
scao,42,590.82,15.4595
scao,42,627.95,15.3447
scao,42,666.29,15.2652
scao,42,700.87,15.1744
scao,42,738.12,15.1027
diag_shampoo,42,11.81,230.0516
diag_shampoo,42,51.75,172.1230
diag_shampoo,42,85.42,133.2487
diag_shampoo,42,124.93,108.0836
diag_shampoo,42,158.95,89.6537
diag_shampoo,42,206.14,76.0592
diag_shampoo,42,254.20,65.8236
diag_shampoo,42,310.06,58.0117
diag_shampoo,42,355.00,52.0566
diag_shampoo,42,415.97,47.5109
diag_shampoo,42,463.64,44.0853
diag_shampoo,42,522.57,41.4822
diag_shampoo,42,581.85,39.5277
diag_shampoo,42,615.77,38.0304
diag_shampoo,42,658.69,36.9335
diag_shampoo,42,720.67,36.1578
diag_shampoo,42,769.31,35.6463
diag_shampoo,42,799.83,35.3346
diag_shampoo,42,830.78,35.1476
diag_shampoo,42,873.46,35.0306
