optimizer,seed,wall_clock_s,ppl
adamw,42,3.18,149.4621
adamw,42,11.18,113.0973
adamw,42,19.58,82.9878
adamw,42,27.86,54.7381
adamw,42,36.02,37.6566
adamw,42,44.59,28.6875
adamw,42,53.14,23.9316
adamw,42,61.41,21.2133
adamw,42,69.89,19.2509
adamw,42,78.34,17.9698
adamw,42,87.19,17.0501
adamw,42,95.47,16.4875
adamw,42,104.39,16.0428
adamw,42,116.65,15.6604
adamw,42,157.08,15.4163
adamw,42,189.74,15.2580
adamw,42,204.84,15.1107
adamw,42,223.29,15.0021
adamw,42,235.74,14.9159
adamw,42,244.24,14.8492
scao,42,3.47,150.3750
scao,42,11.79,114.1543
scao,42,20.34,84.9395
scao,42,29.06,57.7818
scao,42,37.52,39.7365
scao,42,46.08,30.3128
scao,42,54.66,25.3575
scao,42,63.22,22.4175
scao,42,71.86,20.3986
scao,42,80.28,19.0522
scao,42,88.86,18.4219
scao,42,97.52,17.8990
scao,42,106.12,17.4777
scao,42,115.52,17.2133
scao,42,124.05,16.9788
scao,42,133.15,16.8036
scao,42,141.87,16.6641
scao,42,150.55,16.5728
scao,42,162.65,16.4775
scao,42,180.19,16.4198
diag_shampoo,42,6.87,258.2252
diag_shampoo,42,25.45,232.8457
diag_shampoo,42,38.61,200.6362
diag_shampoo,42,46.85,170.7445
diag_shampoo,42,55.46,149.4159
diag_shampoo,42,64.14,135.2993
diag_shampoo,42,72.42,125.2282
diag_shampoo,42,81.22,117.5615
diag_shampoo,42,90.68,111.4450
diag_shampoo,42,98.89,106.5383
diag_shampoo,42,107.09,102.4727
diag_shampoo,42,115.54,99.1991
diag_shampoo,42,123.59,96.5694
diag_shampoo,42,132.07,94.4825
diag_shampoo,42,140.33,92.8692
diag_shampoo,42,148.76,91.6371
diag_shampoo,42,156.99,90.7070
diag_shampoo,42,165.30,90.0230
diag_shampoo,42,173.38,89.4939
diag_shampoo,42,181.59,89.0495
