optimizer,seed,wall_clock_s,ppl
adamw,42,31.04,84.2113
adamw,42,114.46,49.1198
adamw,42,199.76,34.2736
adamw,42,283.75,28.5431
adamw,42,385.81,26.4922
scao,42,34.19,80.4906
scao,42,125.94,44.0090
scao,42,210.58,30.2196
scao,42,294.70,25.1396
scao,42,380.15,23.9396
adamw,42,90.95,65.5486
adamw,42,371.90,33.9643
adamw,42,652.76,23.4804
adamw,42,967.66,19.9780
adamw,42,1278.33,19.0065
scao,42,100.02,61.9014
scao,42,423.82,29.5437
scao,42,707.23,21.3487
scao,42,1055.27,18.8394
scao,42,1354.66,18.0911
