optimizer,seed,wall_clock_s,ppl
adamw,42,6.05,148.7067
adamw,42,22.44,112.6560
adamw,42,38.52,82.5069
adamw,42,54.67,54.6896
adamw,42,72.72,37.4680
adamw,42,104.85,28.5375
adamw,42,138.20,23.6325
adamw,42,169.92,20.6589
adamw,42,202.55,18.7545
adamw,42,236.78,17.6057
adamw,42,270.20,16.7743
adamw,42,310.94,16.2468
adamw,42,345.56,15.8245
adamw,42,378.86,15.4520
adamw,42,411.10,15.1534
adamw,42,442.98,14.9748
adamw,42,462.65,14.8452
adamw,42,478.92,14.7617
adamw,42,495.01,14.6753
adamw,42,524.07,14.5976
scao,42,11.56,149.6049
scao,42,44.15,113.7046
scao,42,81.87,84.5125
scao,42,128.89,57.1945
scao,42,180.01,39.5233
scao,42,220.11,30.2746
scao,42,254.97,25.1753
scao,42,287.96,22.0837
scao,42,321.88,20.8752
scao,42,355.28,19.8731
scao,42,388.20,19.0707
scao,42,421.67,18.4424
scao,42,453.84,17.9741
scao,42,487.58,17.6508
scao,42,521.59,17.3120
scao,42,555.05,17.0866
scao,42,587.47,16.9289
scao,42,624.79,16.8306
scao,42,662.70,16.7322
scao,42,696.66,16.6500
