optimizer,seed,wall_clock_s,ppl
adamw,42,32.83,116.5229
adamw,42,95.17,66.5564
adamw,42,162.58,34.7519
adamw,42,217.32,21.7346
adamw,42,291.31,16.9728
adamw,42,417.14,15.0195
adamw,42,581.70,14.0978
adamw,42,676.24,13.4651
adamw,42,808.47,13.2326
adamw,42,894.74,12.7835
adamw,42,1078.24,12.6075
adamw,42,1188.05,12.4974
adamw,42,1295.50,12.2746
adamw,42,1433.65,12.2202
adamw,42,1539.99,12.1451
adamw,42,1637.17,12.0276
adamw,42,1700.99,11.9785
adamw,42,1782.56,11.9383
adamw,42,1834.37,11.8942
adamw,42,1886.49,11.8539
scao,42,32.14,111.9526
scao,42,86.57,59.0494
scao,42,140.59,30.0341
scao,42,203.98,19.4631
scao,42,261.42,15.9492
scao,42,320.08,14.6311
scao,42,377.14,14.1236
scao,42,436.02,13.6244
scao,42,493.37,13.3301
scao,42,552.08,12.9895
scao,42,609.64,12.7620
scao,42,667.25,12.6278
scao,42,725.28,12.4358
scao,42,790.12,12.3888
scao,42,888.01,12.3209
scao,42,956.49,12.1868
scao,42,1019.60,12.1622
scao,42,1083.54,12.1225
scao,42,1147.33,12.0756
scao,42,1216.41,12.0328
