optimizer,seed,wall_clock_s,ppl
adamw,42,17.54,148.7067
adamw,42,57.99,112.6560
adamw,42,103.20,82.5069
adamw,42,146.26,54.6896
adamw,42,181.50,37.4680
adamw,42,243.07,28.5375
adamw,42,302.02,23.6325
adamw,42,347.28,20.6589
adamw,42,397.56,18.7545
adamw,42,449.16,17.6057
adamw,42,490.87,16.7743
adamw,42,528.60,16.2468
adamw,42,568.35,15.8245
adamw,42,611.20,15.4520
adamw,42,650.46,15.1534
adamw,42,685.30,14.9748
adamw,42,728.10,14.8452
adamw,42,773.96,14.7617
adamw,42,820.11,14.6753
adamw,42,857.39,14.5976
scao,42,19.04,143.2106
scao,42,60.77,107.6535
scao,42,101.90,74.9478
scao,42,152.39,47.6023
scao,42,197.09,32.4507
scao,42,252.95,25.3431
scao,42,295.32,21.6031
scao,42,335.13,19.3959
scao,42,390.96,18.0737
scao,42,440.37,17.4299
scao,42,482.59,16.9069
scao,42,521.34,16.5483
scao,42,565.18,16.2689
scao,42,603.55,16.0205
scao,42,642.16,15.7399
scao,42,682.56,15.5628
scao,42,720.99,15.4384
scao,42,759.94,15.3627
scao,42,797.58,15.2634
scao,42,835.57,15.1931
